Date,Open,High,Low,Close,Adj Close,Volume
,RGTI,RGTI,RGTI,RGTI,RGTI,RGTI
2023-09-20,1.81,1.88,1.73,1.74,1.74,2279600
2023-09-21,1.64,1.67,1.55,1.6,1.6,3467200
2023-09-22,1.6,1.705,1.53,1.57,1.57,2406900
2023-09-25,1.5,1.53,1.39,1.46,1.46,3870200
2023-09-26,1.4,1.49,1.36,1.38,1.38,3198900
2023-09-27,1.39,1.47,1.38,1.42,1.42,4020800
2023-09-28,1.4,1.42,1.27,1.31,1.31,5114400
2023-09-29,1.32,1.38,1.29,1.33,1.33,2681800
2023-10-02,1.31,1.38,1.25,1.29,1.29,2383500
2023-10-03,1.28,1.28,1.17,1.19,1.19,3570000
2023-10-04,1.17,1.28,1.17,1.26,1.26,2970500
2023-10-05,1.25,1.265,1.2,1.21,1.21,1410800
2023-10-06,1.21,1.43,1.17,1.4,1.4,3461600
2023-10-09,1.35,1.38,1.295,1.36,1.36,1739300
2023-10-10,1.34,1.6,1.34,1.53,1.53,3955400
2023-10-11,1.64,1.655,1.48,1.51,1.51,3581700
2023-10-12,1.52,1.59,1.45,1.48,1.48,2632200
2023-10-13,1.51,1.51,1.37,1.4,1.4,2497400
2023-10-16,1.41,1.44,1.32,1.41,1.41,1510100
2023-10-17,1.34,1.46,1.31,1.43,1.43,1440500
2023-10-18,1.41,1.41,1.31,1.35,1.35,1586600
2023-10-19,1.36,1.37,1.23,1.26,1.26,2184600
2023-10-20,1.26,1.28,1.18,1.2,1.2,1328100
2023-10-23,1.18,1.2,1.09,1.16,1.16,1936600
2023-10-24,1.2,1.33,1.19,1.3,1.3,3026100
2023-10-25,1.31,1.31,1.16,1.19,1.19,1684500
2023-10-26,1.16,1.22,1.13,1.17,1.17,1500900
2023-10-27,1.19,1.2,1.1,1.12,1.12,1699600
2023-10-30,1.14,1.15,1.06,1.08,1.08,1616800
2023-10-31,1.06,1.09,1.04,1.06,1.06,1363500
2023-11-01,1.06,1.1,0.99,1.05,1.05,2634300
2023-11-02,1.08,1.17,1.05,1.14,1.14,3539400
2023-11-03,1.16,1.23,1.12,1.17,1.17,3067100
2023-11-06,1.17,1.19,1.02,1.04,1.04,3137600
2023-11-07,1.05,1.1,1.03,1.04,1.04,1228300
2023-11-08,1.07,1.07,1.01,1.05,1.05,1496400
2023-11-09,1.02,1.14,1.02,1.05,1.05,2902600
2023-11-10,0.94,1.02,0.908,0.97,0.97,2692800
2023-11-13,0.976,1.06,0.922,1.06,1.06,1416100
2023-11-14,1.15,1.2,1.06,1.19,1.19,3786300
2023-11-15,1.22,1.24,1.09,1.17,1.17,2803300
2023-11-16,1.16,1.16,1.05,1.08,1.08,2108900
2023-11-17,1.09,1.12,1.05,1.1,1.1,1050200
2023-11-20,1.11,1.17,1.03,1.05,1.05,2499500
2023-11-21,1.05,1.05,0.98,1.02,1.02,1938700
2023-11-22,1.03,1.1,1.03,1.05,1.05,1673800
2023-11-24,1.04,1.09,1.04,1.05,1.05,518500
2023-11-27,1.07,1.16,1.015,1.05,1.05,4256900
2023-11-28,1.1,1.1,1.02,1.08,1.08,1615600
2023-11-29,1.09,1.18,1.05,1.06,1.06,2690300
2023-11-30,1.08,1.09,1.05,1.06,1.06,1285500
2023-12-01,1.08,1.2,1.035,1.2,1.2,4356600
2023-12-04,1.21,1.22,1.1,1.16,1.16,3436400
2023-12-05,1.15,1.17,1.04,1.06,1.06,2677800
2023-12-06,1.09,1.09,1.05,1.06,1.06,2428300
2023-12-07,1.09,1.1,1.03,1.05,1.05,1787600
2023-12-08,1.04,1.08,1.01,1.04,1.04,2251300
2023-12-11,1.06,1.09,1.01,1.02,1.02,2267500
2023-12-12,1.01,1.04,0.96,0.996,0.996,2635700
2023-12-13,1.0,1.02,0.92,0.982,0.982,2758000
2023-12-14,1.01,1.08,1.0,1.01,1.01,3346500
2023-12-15,1.03,1.07,1.025,1.07,1.07,2779500
2023-12-18,1.07,1.15,1.035,1.1,1.1,3363900
2023-12-19,1.13,1.15,1.05,1.06,1.06,2808500
2023-12-20,1.06,1.09,1.0,1.02,1.02,2372500
2023-12-21,1.03,1.04,0.985,1.02,1.02,1913400
2023-12-22,1.01,1.03,0.992,0.994,0.994,1388200
2023-12-26,1.05,1.09,1.01,1.05,1.05,2499400
2023-12-27,1.06,1.089,1.01,1.02,1.02,1597400
2023-12-28,1.0,1.05,1.0,1.02,1.02,1356200
2023-12-29,1.03,1.04,0.975,0.985,0.985,2200300
2024-01-02,1.0,1.0,0.913,0.924,0.924,2911100
2024-01-03,0.937,0.975,0.904,0.969,0.969,2896000
2024-01-04,0.99,1.05,0.97,1.02,1.02,2152800
2024-01-05,1.03,1.04,0.991,1.01,1.01,1036200
2024-01-08,1.03,1.2,1.02,1.14,1.14,4404000
2024-01-09,1.12,1.23,1.07,1.18,1.18,5220000
2024-01-10,1.18,1.18,1.1,1.13,1.13,1967000
2024-01-11,1.1,1.149,1.05,1.07,1.07,2424000
2024-01-12,1.06,1.12,1.0,1.02,1.02,1983100
2024-01-16,1.02,1.039,0.985,1.01,1.01,1479700
2024-01-17,0.985,0.999,0.95,0.966,0.966,1478800
2024-01-18,0.99,1.02,0.955,0.967,0.967,1132500
2024-01-19,0.98,1.04,0.956,1.01,1.01,1364000
2024-01-22,1.03,1.1,1.01,1.1,1.1,2507300
2024-01-23,1.1,1.14,1.08,1.11,1.11,1826700
2024-01-24,1.12,1.15,1.075,1.09,1.09,1670400
2024-01-25,1.09,1.15,1.023,1.04,1.04,2772800
2024-01-26,1.03,1.11,1.02,1.09,1.09,1939700
2024-01-29,1.1,1.14,1.04,1.11,1.11,2507300
2024-01-30,1.12,1.31,1.1,1.24,1.24,10066500
2024-01-31,1.19,1.4,1.19,1.24,1.24,8211100
2024-02-01,1.28,1.37,1.2,1.32,1.32,5762800
2024-02-02,1.32,1.33,1.22,1.27,1.27,3003500
2024-02-05,1.29,1.3,1.14,1.18,1.18,4145200
2024-02-06,1.21,1.25,1.19,1.24,1.24,2133600
2024-02-07,1.27,1.27,1.11,1.135,1.135,3464200
2024-02-08,1.15,1.18,1.13,1.16,1.16,2012000
